filename,width,height,class,xmin,ymin,xmax,ymax
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_15.JPEG,436,500,3,49,60,401,435
GalvanizeMax_ImageSet/images/badger/n02447366_2340.JPEG,500,335,5,225,82,499,240
GalvanizeMax_ImageSet/images/dog/n02084071_3798.JPEG,375,500,1,173,7,373,361
GalvanizeMax_ImageSet/images/dog/n02084071_1727.JPEG,500,375,1,58,1,394,374
GalvanizeMax_ImageSet/images/hawk/n01605630_12292.JPEG,500,333,2,0,44,478,332
GalvanizeMax_ImageSet/images/dog/n02084071_436.JPEG,500,345,1,209,73,479,264
GalvanizeMax_ImageSet/images/cow/n01887787_3014.JPEG,500,331,4,95,104,346,244
GalvanizeMax_ImageSet/images/dog/n02084071_1284.JPEG,500,333,1,307,41,499,332
GalvanizeMax_ImageSet/images/cow/n01887787_12814.JPEG,500,500,4,368,258,486,488
GalvanizeMax_ImageSet/images/cow/n01887787_2538.JPEG,500,332,4,0,143,115,216
GalvanizeMax_ImageSet/images/cow/n01887787_14319.JPEG,333,500,4,0,0,331,498
GalvanizeMax_ImageSet/images/cow/n01887787_3560.JPEG,500,331,4,20,133,342,329
GalvanizeMax_ImageSet/images/cow/n01887787_12237.JPEG,331,500,4,34,148,318,472
GalvanizeMax_ImageSet/images/cow/n01887787_4357.JPEG,240,160,4,15,52,81,141
GalvanizeMax_ImageSet/images/cow/n01887787_4081.JPEG,500,331,4,120,129,416,303
GalvanizeMax_ImageSet/images/cow/n01887787_9648.JPEG,500,331,4,173,149,331,209
GalvanizeMax_ImageSet/images/hawk/n01605630_154.JPEG,374,500,2,116,81,261,441
GalvanizeMax_ImageSet/images/cow/n01887787_10162.JPEG,500,332,4,328,129,386,192
GalvanizeMax_ImageSet/images/cow/n01887787_6639.JPEG,500,331,4,218,243,315,301
GalvanizeMax_ImageSet/images/cow/n01887787_11465.JPEG,500,331,4,467,92,499,130
GalvanizeMax_ImageSet/images/cow/n01887787_13054.JPEG,500,331,4,327,173,437,272
GalvanizeMax_ImageSet/images/cow/n01887787_8764.JPEG,500,332,4,88,137,266,231
GalvanizeMax_ImageSet/images/cow/n01887787_7098.JPEG,500,375,4,295,243,367,317
GalvanizeMax_ImageSet/images/cow/n01887787_3386.JPEG,500,375,4,80,188,179,247
GalvanizeMax_ImageSet/images/hawk/n01605630_7282.JPEG,500,333,2,107,89,491,332
GalvanizeMax_ImageSet/images/hawk/n01605630_9928.JPEG,500,342,2,81,21,373,331
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_1042.JPEG,800,580,3,115,117,394,496
GalvanizeMax_ImageSet/images/cow/n01887787_9070.JPEG,500,375,4,99,216,208,291
GalvanizeMax_ImageSet/images/cow/n01887787_18038.JPEG,320,245,4,24,48,302,216
GalvanizeMax_ImageSet/images/cow/n01887787_8181.JPEG,500,331,4,1,20,418,317
GalvanizeMax_ImageSet/images/dog/n02084071_173.JPEG,500,333,1,2,20,441,332
GalvanizeMax_ImageSet/images/cow/n01887787_1078.JPEG,500,331,4,45,31,446,160
GalvanizeMax_ImageSet/images/badger/n02447366_840.JPEG,333,500,5,0,40,316,482
GalvanizeMax_ImageSet/images/cow/n01887787_781.JPEG,375,500,4,50,36,219,254
GalvanizeMax_ImageSet/images/badger/n02447366_27481.JPEG,500,401,5,44,74,376,331
GalvanizeMax_ImageSet/images/cow/n01887787_999.JPEG,500,332,4,226,222,264,236
GalvanizeMax_ImageSet/images/cow/n01887787_11088.JPEG,285,380,4,19,68,248,376
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_109.JPEG,413,273,3,8,113,241,271
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_982.JPEG,576,483,3,64,46,487,465
GalvanizeMax_ImageSet/images/cow/n01887787_760.JPEG,500,375,4,67,136,259,251
GalvanizeMax_ImageSet/images/cow/n01887787_11705.JPEG,500,331,4,30,114,208,204
GalvanizeMax_ImageSet/images/cow/n01887787_7970.JPEG,500,333,4,359,121,415,190
GalvanizeMax_ImageSet/images/badger/n02447366_966.JPEG,404,500,5,11,6,402,498
GalvanizeMax_ImageSet/images/badger/n02447366_4879.JPEG,500,375,5,322,84,446,307
GalvanizeMax_ImageSet/images/cow/n01887787_755.JPEG,500,375,4,185,169,212,217
GalvanizeMax_ImageSet/images/hawk/n01605630_320.JPEG,357,500,2,103,103,276,498
GalvanizeMax_ImageSet/images/cow/n01887787_1405.JPEG,500,331,4,188,124,363,263
GalvanizeMax_ImageSet/images/cow/n01887787_2903.JPEG,500,332,4,199,183,305,310
GalvanizeMax_ImageSet/images/cow/n01887787_2545.JPEG,253,380,4,41,16,247,363
GalvanizeMax_ImageSet/images/cow/n01887787_18506.JPEG,600,449,4,113,60,516,405
GalvanizeMax_ImageSet/images/cow/n01887787_2977.JPEG,500,331,4,264,76,470,213
GalvanizeMax_ImageSet/images/hawk/n01605630_7539.JPEG,500,386,2,283,50,499,384
GalvanizeMax_ImageSet/images/cow/n01887787_5281.JPEG,500,331,4,78,191,237,270
GalvanizeMax_ImageSet/images/hawk/n01605630_6181.JPEG,500,375,2,146,46,286,336
GalvanizeMax_ImageSet/images/badger/n02447366_8893.JPEG,540,389,5,3,7,526,370
GalvanizeMax_ImageSet/images/dog/n02084071_11973.JPEG,325,250,1,19,131,147,224
GalvanizeMax_ImageSet/images/cow/n01887787_14519.JPEG,500,332,4,161,155,195,188
GalvanizeMax_ImageSet/images/cow/n01887787_626.JPEG,500,440,4,154,124,270,407
GalvanizeMax_ImageSet/images/cow/n01887787_5435.JPEG,332,500,4,4,73,248,398
GalvanizeMax_ImageSet/images/cow/n01887787_4606.JPEG,331,500,4,72,143,271,432
GalvanizeMax_ImageSet/images/badger/n02447366_7773.JPEG,500,375,5,63,1,470,307
GalvanizeMax_ImageSet/images/cow/n01887787_5879.JPEG,500,331,4,183,128,371,227
GalvanizeMax_ImageSet/images/dog/n02084071_17789.JPEG,500,332,1,373,238,450,297
GalvanizeMax_ImageSet/images/dog/n02084071_365.JPEG,500,375,1,107,0,499,374
GalvanizeMax_ImageSet/images/cow/n01887787_10482.JPEG,500,375,4,193,78,434,239
GalvanizeMax_ImageSet/images/dog/n02084071_2918.JPEG,500,323,1,110,99,327,235
GalvanizeMax_ImageSet/images/cow/n01887787_3287.JPEG,289,195,4,6,3,284,170
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_668.JPEG,418,500,3,59,35,371,468
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_1416.JPEG,500,375,3,109,66,372,287
GalvanizeMax_ImageSet/images/hawk/n01605630_13348.JPEG,500,426,2,123,55,346,366
GalvanizeMax_ImageSet/images/cow/n01887787_10440.JPEG,332,500,4,5,159,166,349
GalvanizeMax_ImageSet/images/cow/n01887787_4281.JPEG,250,188,4,87,148,117,169
GalvanizeMax_ImageSet/images/cow/n01887787_7042.JPEG,500,331,4,87,43,373,292
GalvanizeMax_ImageSet/images/cow/n01887787_1234.JPEG,500,375,4,171,156,305,209
GalvanizeMax_ImageSet/images/cow/n01887787_13724.JPEG,500,375,4,88,18,489,337
GalvanizeMax_ImageSet/images/cow/n01887787_755.JPEG,500,375,4,293,183,337,248
GalvanizeMax_ImageSet/images/dog/n02084071_1524.JPEG,332,500,1,2,189,190,481
GalvanizeMax_ImageSet/images/cow/n01887787_11028.JPEG,500,332,4,240,216,339,282
GalvanizeMax_ImageSet/images/cow/n01887787_1786.JPEG,137,110,4,80,33,118,64
GalvanizeMax_ImageSet/images/cow/n01887787_10437.JPEG,380,253,4,0,83,142,251
GalvanizeMax_ImageSet/images/cow/n01887787_12720.JPEG,500,281,4,8,31,83,94
GalvanizeMax_ImageSet/images/hawk/n01605630_4680.JPEG,354,500,2,76,26,352,498
GalvanizeMax_ImageSet/images/hawk/n01605630_4944.JPEG,375,500,2,1,83,300,498
GalvanizeMax_ImageSet/images/cow/n01887787_14695.JPEG,500,400,4,225,209,348,281
GalvanizeMax_ImageSet/images/cow/n01887787_14446.JPEG,275,206,4,207,40,255,64
GalvanizeMax_ImageSet/images/cow/n01887787_4264.JPEG,500,331,4,294,168,401,268
GalvanizeMax_ImageSet/images/cow/n01887787_8931.JPEG,384,512,4,167,73,375,399
GalvanizeMax_ImageSet/images/cow/n01887787_1523.JPEG,500,332,4,81,154,108,202
GalvanizeMax_ImageSet/images/cow/n01887787_6878.JPEG,365,500,4,107,108,302,429
GalvanizeMax_ImageSet/images/cow/n01887787_6922.JPEG,500,331,4,306,77,389,296
GalvanizeMax_ImageSet/images/cow/n01887787_1405.JPEG,500,331,4,2,1,222,130
GalvanizeMax_ImageSet/images/cow/n01887787_4454.JPEG,500,331,4,347,159,469,281
GalvanizeMax_ImageSet/images/cow/n01887787_3519.JPEG,240,180,4,28,2,210,175
GalvanizeMax_ImageSet/images/cow/n01887787_2499.JPEG,500,331,4,2,2,125,88
GalvanizeMax_ImageSet/images/dog/n02084071_16506.JPEG,500,332,1,126,44,438,328
GalvanizeMax_ImageSet/images/dog/n02084071_31095.JPEG,791,800,1,2,190,686,798
GalvanizeMax_ImageSet/images/cow/n01887787_18309.JPEG,600,449,4,42,60,545,436
GalvanizeMax_ImageSet/images/cow/n01887787_347.JPEG,500,375,4,209,108,275,142
GalvanizeMax_ImageSet/images/hawk/n01605630_12490.JPEG,335,500,2,33,105,263,487
GalvanizeMax_ImageSet/images/dog/n02084071_30398.JPEG,120,86,1,16,34,53,77
GalvanizeMax_ImageSet/images/cow/n01887787_14321.JPEG,500,375,4,0,0,496,371
GalvanizeMax_ImageSet/images/cow/n01887787_1027.JPEG,332,500,4,28,189,234,368
GalvanizeMax_ImageSet/images/cow/n01887787_5369.JPEG,500,336,4,418,149,474,218
GalvanizeMax_ImageSet/images/badger/n02447366_27016.JPEG,500,332,5,26,27,499,330
GalvanizeMax_ImageSet/images/dog/n02084071_10911.JPEG,500,373,1,1,28,230,360
GalvanizeMax_ImageSet/images/cow/n01887787_4246.JPEG,128,192,4,6,19,122,184
GalvanizeMax_ImageSet/images/cow/n01887787_14039.JPEG,500,331,4,5,2,412,327
GalvanizeMax_ImageSet/images/cow/n01887787_14019.JPEG,500,346,4,210,209,302,316
GalvanizeMax_ImageSet/images/cow/n01887787_7559.JPEG,500,375,4,0,192,58,245
GalvanizeMax_ImageSet/images/cow/n01887787_687.JPEG,500,375,4,188,82,499,374
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_2493.JPEG,512,433,3,307,162,443,287
GalvanizeMax_ImageSet/images/cow/n01887787_12643.JPEG,500,331,4,376,93,456,293
GalvanizeMax_ImageSet/images/dog/n02084071_23600.JPEG,500,334,1,215,6,497,331
GalvanizeMax_ImageSet/images/cow/n01887787_3561.JPEG,500,331,4,134,73,392,247
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_2678.JPEG,510,417,3,37,13,423,380
GalvanizeMax_ImageSet/images/cow/n01887787_7512.JPEG,500,331,4,392,98,467,288
GalvanizeMax_ImageSet/images/cow/n01887787_2873.JPEG,500,375,4,350,74,448,123
GalvanizeMax_ImageSet/images/hawk/n01605630_5886.JPEG,375,500,2,125,72,285,447
GalvanizeMax_ImageSet/images/badger/n02447366_8194.JPEG,500,333,5,177,79,354,236
GalvanizeMax_ImageSet/images/cow/n01887787_8764.JPEG,500,332,4,273,164,357,203
GalvanizeMax_ImageSet/images/hawk/n01605630_14422.JPEG,354,500,2,0,31,322,498
GalvanizeMax_ImageSet/images/badger/n02447366_9904.JPEG,350,276,5,2,19,313,274
GalvanizeMax_ImageSet/images/cow/n01887787_480.JPEG,500,332,4,161,184,317,280
GalvanizeMax_ImageSet/images/cow/n01887787_3251.JPEG,500,331,4,230,74,309,277
GalvanizeMax_ImageSet/images/badger/n02447366_10995.JPEG,201,231,5,19,21,159,219
GalvanizeMax_ImageSet/images/cow/n01887787_8846.JPEG,500,332,4,0,30,447,309
GalvanizeMax_ImageSet/images/dog/n02084071_13549.JPEG,220,242,1,10,161,122,236
GalvanizeMax_ImageSet/images/cow/n01887787_7171.JPEG,500,331,4,29,29,263,188
GalvanizeMax_ImageSet/images/cow/n01887787_9067.JPEG,500,331,4,269,225,384,321
GalvanizeMax_ImageSet/images/dog/n02084071_119.JPEG,500,333,1,93,2,438,332
GalvanizeMax_ImageSet/images/cow/n01887787_14267.JPEG,332,500,4,151,146,327,401
GalvanizeMax_ImageSet/images/cow/n01887787_3753.JPEG,240,160,4,31,124,57,154
GalvanizeMax_ImageSet/images/hawk/n01605630_697.JPEG,255,384,2,19,47,247,383
GalvanizeMax_ImageSet/images/dog/n02084071_11306.JPEG,361,629,1,252,288,356,496
GalvanizeMax_ImageSet/images/cow/n01887787_7499.JPEG,500,375,4,189,306,241,325
GalvanizeMax_ImageSet/images/badger/n02447366_23484.JPEG,500,407,5,19,37,498,349
GalvanizeMax_ImageSet/images/cow/n01887787_5576.JPEG,500,331,4,41,45,471,307
GalvanizeMax_ImageSet/images/cow/n01887787_11820.JPEG,500,331,4,291,163,401,274
GalvanizeMax_ImageSet/images/cow/n01887787_151.JPEG,106,115,4,2,12,90,112
GalvanizeMax_ImageSet/images/cow/n01887787_3160.JPEG,500,334,4,471,248,494,261
GalvanizeMax_ImageSet/images/cow/n01887787_6855.JPEG,500,331,4,198,93,316,318
GalvanizeMax_ImageSet/images/cow/n01887787_12915.JPEG,500,375,4,69,154,213,349
GalvanizeMax_ImageSet/images/cow/n01887787_12751.JPEG,500,331,4,180,225,234,299
GalvanizeMax_ImageSet/images/cow/n01887787_4909.JPEG,500,375,4,161,100,337,316
GalvanizeMax_ImageSet/images/cow/n01887787_3259.JPEG,500,375,4,220,8,336,112
GalvanizeMax_ImageSet/images/badger/n02447366_5827.JPEG,500,375,5,122,42,403,205
GalvanizeMax_ImageSet/images/cow/n01887787_8053.JPEG,500,331,4,149,92,295,238
GalvanizeMax_ImageSet/images/cow/n01887787_8888.JPEG,332,500,4,1,201,245,373
GalvanizeMax_ImageSet/images/cow/n01887787_5614.JPEG,203,152,4,12,3,189,149
GalvanizeMax_ImageSet/images/cow/n01887787_66.JPEG,500,375,4,462,79,500,128
GalvanizeMax_ImageSet/images/badger/n02447366_33.JPEG,468,555,5,1,1,465,550
GalvanizeMax_ImageSet/images/badger/n02447366_573.JPEG,120,240,5,14,65,114,189
GalvanizeMax_ImageSet/images/cow/n01887787_9749.JPEG,110,78,4,69,15,97,42
GalvanizeMax_ImageSet/images/hawk/n01605630_8256.JPEG,500,389,2,255,112,315,289
GalvanizeMax_ImageSet/images/dog/n02084071_689.JPEG,500,429,1,0,38,394,358
GalvanizeMax_ImageSet/images/cow/n01887787_9595.JPEG,500,333,4,66,57,416,254
GalvanizeMax_ImageSet/images/cow/n01887787_7491.JPEG,500,333,4,289,174,342,235
GalvanizeMax_ImageSet/images/cow/n01887787_14662.JPEG,285,380,4,121,251,219,321
GalvanizeMax_ImageSet/images/dog/n02084071_18010.JPEG,332,500,1,144,144,217,207
GalvanizeMax_ImageSet/images/cow/n01887787_755.JPEG,500,375,4,29,160,59,206
GalvanizeMax_ImageSet/images/cow/n01887787_12241.JPEG,800,556,4,224,199,252,253
GalvanizeMax_ImageSet/images/dog/n02084071_22424.JPEG,500,375,1,141,53,482,364
GalvanizeMax_ImageSet/images/cow/n01887787_649.JPEG,500,331,4,8,31,254,203
GalvanizeMax_ImageSet/images/cow/n01887787_9377.JPEG,800,600,4,728,273,800,409
GalvanizeMax_ImageSet/images/badger/n02447366_8615.JPEG,500,333,5,146,86,357,292
GalvanizeMax_ImageSet/images/dog/n02084071_3044.JPEG,500,332,1,291,99,499,331
GalvanizeMax_ImageSet/images/dog/n02084071_31350.JPEG,400,300,1,100,140,380,248
GalvanizeMax_ImageSet/images/cow/n01887787_12941.JPEG,375,500,4,47,75,375,345
GalvanizeMax_ImageSet/images/dog/n02084071_28746.JPEG,500,332,1,107,57,339,303
GalvanizeMax_ImageSet/images/cow/n01887787_6725.JPEG,500,331,4,57,230,105,261
GalvanizeMax_ImageSet/images/cow/n01887787_3934.JPEG,500,331,4,148,44,499,281
GalvanizeMax_ImageSet/images/badger/n02447366_2581.JPEG,500,375,5,324,185,381,259
GalvanizeMax_ImageSet/images/cow/n01887787_2038.JPEG,240,160,4,63,7,227,154
GalvanizeMax_ImageSet/images/cow/n01887787_18500.JPEG,300,214,4,16,19,275,209
GalvanizeMax_ImageSet/images/cow/n01887787_12751.JPEG,500,331,4,416,26,459,64
GalvanizeMax_ImageSet/images/hawk/n01605630_2958.JPEG,333,500,2,68,87,282,416
GalvanizeMax_ImageSet/images/cow/n01887787_11990.JPEG,500,296,4,72,68,209,181
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_1156.JPEG,500,333,3,281,120,444,229
GalvanizeMax_ImageSet/images/cow/n01887787_13798.JPEG,500,329,4,421,176,500,293
GalvanizeMax_ImageSet/images/badger/n02447366_19920.JPEG,500,333,5,103,66,436,263
GalvanizeMax_ImageSet/images/cow/n01887787_12159.JPEG,454,341,4,221,146,270,182
GalvanizeMax_ImageSet/images/cow/n01887787_2186.JPEG,500,331,4,187,253,238,274
GalvanizeMax_ImageSet/images/cow/n01887787_5688.JPEG,319,320,4,18,79,123,253
GalvanizeMax_ImageSet/images/cow/n01887787_24.JPEG,500,333,4,62,154,101,179
GalvanizeMax_ImageSet/images/hawk/n01605630_4027.JPEG,500,333,2,129,78,436,332
GalvanizeMax_ImageSet/images/dog/n02084071_8227.JPEG,500,500,1,108,291,416,496
GalvanizeMax_ImageSet/images/dog/n02084071_1294.JPEG,500,388,1,180,48,330,386
GalvanizeMax_ImageSet/images/dog/n02084071_2046.JPEG,500,333,1,227,96,490,332
GalvanizeMax_ImageSet/images/cow/n01887787_3623.JPEG,335,380,4,151,118,261,331
GalvanizeMax_ImageSet/images/cow/n01887787_14042.JPEG,500,375,4,34,136,73,164
GalvanizeMax_ImageSet/images/cow/n01887787_8269.JPEG,500,332,4,33,239,150,300
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_3298.JPEG,500,334,3,168,79,389,303
GalvanizeMax_ImageSet/images/hawk/n01605630_7412.JPEG,487,500,2,197,150,326,430
GalvanizeMax_ImageSet/images/dog/n02084071_32981.JPEG,500,375,1,293,224,371,321
GalvanizeMax_ImageSet/images/cow/n01887787_5514.JPEG,500,332,4,108,141,281,237
GalvanizeMax_ImageSet/images/hawk/n01605630_16078.JPEG,409,500,2,32,67,407,498
GalvanizeMax_ImageSet/images/cow/n01887787_3731.JPEG,332,500,4,32,100,305,477
GalvanizeMax_ImageSet/images/dog/n02084071_149.JPEG,500,182,1,63,34,172,145
GalvanizeMax_ImageSet/images/cow/n01887787_4758.JPEG,464,500,4,20,125,126,376
GalvanizeMax_ImageSet/images/cow/n01887787_273.JPEG,500,331,4,199,213,255,264
GalvanizeMax_ImageSet/images/cow/n01887787_13803.JPEG,500,331,4,247,115,352,206
GalvanizeMax_ImageSet/images/cow/n01887787_502.JPEG,500,375,4,0,46,269,374
GalvanizeMax_ImageSet/images/badger/n02447366_6247.JPEG,500,375,5,9,62,445,330
GalvanizeMax_ImageSet/images/cow/n01887787_7518.JPEG,500,314,4,54,155,108,185
GalvanizeMax_ImageSet/images/cow/n01887787_10482.JPEG,500,375,4,11,47,242,206
GalvanizeMax_ImageSet/images/hawk/n01605630_2044.JPEG,266,253,2,43,21,237,241
GalvanizeMax_ImageSet/images/cow/n01887787_2914.JPEG,500,332,4,112,133,423,272
GalvanizeMax_ImageSet/images/cow/n01887787_8329.JPEG,500,500,4,146,86,446,454
GalvanizeMax_ImageSet/images/cow/n01887787_9092.JPEG,333,500,4,14,115,272,376
GalvanizeMax_ImageSet/images/dog/n02084071_1832.JPEG,468,309,1,1,1,467,308
GalvanizeMax_ImageSet/images/cow/n01887787_11451.JPEG,116,87,4,15,1,113,74
GalvanizeMax_ImageSet/images/cow/n01887787_14086.JPEG,1024,768,4,223,2,835,733
GalvanizeMax_ImageSet/images/cow/n01887787_2442.JPEG,500,331,4,265,159,387,260
GalvanizeMax_ImageSet/images/cow/n01887787_4256.JPEG,500,332,4,212,172,272,225
GalvanizeMax_ImageSet/images/cow/n01887787_4132.JPEG,331,500,4,116,334,203,400
GalvanizeMax_ImageSet/images/cow/n01887787_4770.JPEG,500,375,4,35,119,197,313
GalvanizeMax_ImageSet/images/cow/n01887787_2840.JPEG,500,333,4,40,255,57,270
GalvanizeMax_ImageSet/images/cow/n01887787_518.JPEG,790,1155,4,21,10,763,1048
GalvanizeMax_ImageSet/images/cow/n01887787_2813.JPEG,500,332,4,366,173,472,240
GalvanizeMax_ImageSet/images/cow/n01887787_10703.JPEG,400,300,4,78,39,371,245
GalvanizeMax_ImageSet/images/dog/n02084071_2739.JPEG,587,450,1,21,99,535,343
GalvanizeMax_ImageSet/images/cow/n01887787_4551.JPEG,500,332,4,409,226,498,294
GalvanizeMax_ImageSet/images/badger/n02447366_8423.JPEG,500,347,5,83,53,474,248
GalvanizeMax_ImageSet/images/cow/n01887787_8160.JPEG,500,375,4,284,204,449,336
GalvanizeMax_ImageSet/images/dog/n02084071_72.JPEG,333,500,1,45,87,297,471
GalvanizeMax_ImageSet/images/cow/n01887787_930.JPEG,500,331,4,151,249,210,271
GalvanizeMax_ImageSet/images/cow/n01887787_3386.JPEG,500,375,4,15,117,90,147
GalvanizeMax_ImageSet/images/cow/n01887787_12152.JPEG,332,500,4,7,47,288,498
GalvanizeMax_ImageSet/images/cow/n01887787_5678.JPEG,500,331,4,216,90,500,231
GalvanizeMax_ImageSet/images/cow/n01887787_5201.JPEG,500,331,4,2,46,369,322
GalvanizeMax_ImageSet/images/cow/n01887787_8034.JPEG,164,237,4,12,15,134,193
GalvanizeMax_ImageSet/images/dog/n02084071_26204.JPEG,500,332,1,60,126,272,237
GalvanizeMax_ImageSet/images/dog/n02084071_888.JPEG,333,500,1,73,27,305,151
GalvanizeMax_ImageSet/images/cow/n01887787_5631.JPEG,500,332,4,10,20,403,300
GalvanizeMax_ImageSet/images/cow/n01887787_862.JPEG,128,98,4,22,17,105,58
GalvanizeMax_ImageSet/images/cow/n01887787_924.JPEG,240,160,4,121,56,219,135
GalvanizeMax_ImageSet/images/hawk/n01605630_10763.JPEG,500,462,2,166,46,461,301
GalvanizeMax_ImageSet/images/cow/n01887787_9627.JPEG,375,500,4,8,9,244,454
GalvanizeMax_ImageSet/images/cow/n01887787_7075.JPEG,332,500,4,135,20,289,111
GalvanizeMax_ImageSet/images/cow/n01887787_12720.JPEG,500,281,4,326,75,494,190
GalvanizeMax_ImageSet/images/dog/n02084071_1294.JPEG,500,388,1,0,102,182,387
GalvanizeMax_ImageSet/images/dog/n02084071_20926.JPEG,308,480,1,144,221,273,349
GalvanizeMax_ImageSet/images/cow/n01887787_1078.JPEG,500,331,4,130,133,500,322
GalvanizeMax_ImageSet/images/cow/n01887787_10338.JPEG,500,368,4,203,28,237,54
GalvanizeMax_ImageSet/images/badger/n02447366_377.JPEG,500,375,5,255,91,383,292
GalvanizeMax_ImageSet/images/cow/n01887787_10078.JPEG,500,331,4,135,98,344,217
GalvanizeMax_ImageSet/images/badger/n02447366_21470.JPEG,500,345,5,26,125,262,274
GalvanizeMax_ImageSet/images/badger/n02447366_32259.JPEG,500,375,5,108,127,319,278
GalvanizeMax_ImageSet/images/dog/n02084071_25971.JPEG,500,325,1,129,15,356,287
GalvanizeMax_ImageSet/images/cow/n01887787_470.JPEG,500,331,4,4,215,134,282
GalvanizeMax_ImageSet/images/hawk/n01605630_6884.JPEG,500,342,2,69,1,498,340
GalvanizeMax_ImageSet/images/hawk/n01605630_10716.JPEG,500,346,2,103,42,408,319
GalvanizeMax_ImageSet/images/cow/n01887787_6207.JPEG,500,331,4,165,183,254,312
GalvanizeMax_ImageSet/images/hawk/n01605630_15658.JPEG,390,500,2,95,76,233,373
GalvanizeMax_ImageSet/images/dog/n02084071_21947.JPEG,500,375,1,0,21,499,374
GalvanizeMax_ImageSet/images/cow/n01887787_4703.JPEG,500,331,4,359,143,483,272
GalvanizeMax_ImageSet/images/cow/n01887787_3794.JPEG,145,88,4,49,1,105,87
GalvanizeMax_ImageSet/images/cow/n01887787_12241.JPEG,800,556,4,446,236,530,358
GalvanizeMax_ImageSet/images/hawk/n01605630_3501.JPEG,500,363,2,41,17,400,345
GalvanizeMax_ImageSet/images/cow/n01887787_4081.JPEG,500,331,4,37,23,497,164
GalvanizeMax_ImageSet/images/cow/n01887787_654.JPEG,464,500,4,186,67,373,200
GalvanizeMax_ImageSet/images/cow/n01887787_531.JPEG,500,332,4,358,201,463,269
GalvanizeMax_ImageSet/images/dog/n02084071_21054.JPEG,500,458,1,34,10,423,447
GalvanizeMax_ImageSet/images/cow/n01887787_693.JPEG,500,375,4,279,42,341,167
GalvanizeMax_ImageSet/images/cow/n01887787_5933.JPEG,500,333,4,96,148,168,270
GalvanizeMax_ImageSet/images/dog/n02084071_19174.JPEG,312,480,1,48,115,310,478
GalvanizeMax_ImageSet/images/dog/n02084071_8249.JPEG,500,333,1,95,42,449,228
GalvanizeMax_ImageSet/images/cow/n01887787_691.JPEG,400,340,4,16,45,390,319
GalvanizeMax_ImageSet/images/cow/n01887787_4086.JPEG,500,357,4,8,8,302,284
GalvanizeMax_ImageSet/images/sage_grouse/n01797601_1091.JPEG,320,214,3,5,14,145,185
GalvanizeMax_ImageSet/images/cow/n01887787_4048.JPEG,512,384,4,26,93,261,328
GalvanizeMax_ImageSet/images/cow/n01887787_35.JPEG,240,140,4,1,25,113,136
GalvanizeMax_ImageSet/images/hawk/n01605630_163.JPEG,383,500,2,58,78,264,377
GalvanizeMax_ImageSet/images/badger/n02447366_7219.JPEG,300,225,5,0,1,278,224
GalvanizeMax_ImageSet/images/hawk/n01605630_5888.JPEG,375,500,2,100,22,291,467
GalvanizeMax_ImageSet/images/dog/n02084071_1524.JPEG,332,500,1,0,114,314,485
